Date,Pattern,Timeframe,Direction,Entry,Stop,Target,Correction_Pct,Risk_Reward,EMA_Aligned,MACD_Aligned,Valid
2023-02-06 08:00:00-05:00,ICI,4h,LONG,409.68,407.3,422.64,0.642,5.45,True,True,True
2023-02-08 12:00:00-05:00,ICI,4h,LONG,410.65,409.49,418.89,0.742,7.1,True,False,False
2023-02-27 12:00:00-05:00,ICI,4h,LONG,397.72,396.35,403.79,0.61,4.43,False,False,False
2023-03-07 08:00:00-05:00,ICI,4h,LONG,401.03,399.02,411.56,0.507,5.25,True,False,False
2023-03-17 13:00:00-04:00,ICI,4h,LONG,390.11,387.91,399.94,0.621,4.47,False,False,False
2023-04-04 13:00:00-04:00,ICI,4h,LONG,408.71,406.76,413.98,0.43,2.7,True,True,True
2023-04-06 09:00:00-04:00,ICI,4h,SHORT,409.0,409.5,404.24,0.55,9.49,False,False,False
2023-05-16 13:00:00-04:00,ICI,4h,LONG,410.25,410.03,414.62,0.729,20.03,True,False,False
2023-06-22 13:00:00-04:00,ICI,4h,SHORT,436.55,436.82,433.27,0.586,12.37,False,False,False
2023-07-20 09:00:00-04:00,ICI,4h,LONG,453.66,452.44,458.43,0.493,3.92,True,True,True
2023-09-29 13:00:00-04:00,ICI,4h,LONG,427.41,425.51,432.42,0.545,2.64,False,False,False
2024-02-05 08:00:00-05:00,ICI,4h,LONG,492.73,489.7,497.35,0.396,1.52,True,True,True
2024-03-14 09:00:00-04:00,ICI,4h,LONG,513.18,512.61,519.8,0.488,11.52,True,False,False
2024-06-26 09:00:00-04:00,ICI,4h,SHORT,544.51,545.68,541.21,0.667,2.83,False,False,False
2024-07-02 09:00:00-04:00,ICI,4h,SHORT,546.66,547.31,540.41,0.567,9.64,False,False,False
2024-07-22 09:00:00-04:00,ICI,4h,SHORT,554.14,555.09,544.48,0.52,10.11,True,False,False
2024-10-15 13:00:00-04:00,ICI,4h,LONG,579.81,578.08,587.82,0.718,4.62,True,True,True
2024-11-13 08:00:00-05:00,ICI,4h,SHORT,598.46,599.27,594.92,0.731,4.39,False,False,False
2024-12-16 08:00:00-05:00,ICI,4h,SHORT,606.95,607.38,601.56,0.755,12.53,False,False,False
2025-01-07 08:00:00-05:00,ICI,4h,LONG,590.62,589.25,604.92,0.494,10.46,False,False,False
2025-01-29 12:00:00-05:00,ICI,4h,LONG,601.8,598.68,608.29,0.573,2.08,True,False,False
2025-02-11 08:00:00-05:00,ICI,4h,SHORT,604.32,605.9,597.85,0.674,4.08,False,False,False
2025-02-26 08:00:00-05:00,ICI,4h,SHORT,598.6,600.62,583.92,0.483,7.28,True,True,True
2025-02-28 12:00:00-05:00,ICI,4h,SHORT,594.07,595.44,580.74,0.701,9.74,True,True,True
2025-03-05 12:00:00-05:00,ICI,4h,SHORT,583.03,586.13,565.43,0.503,5.67,True,True,True
2025-08-04 09:00:00-04:00,ICI,4h,SHORT,630.29,631.53,614.16,0.538,13.01,True,False,False
2025-08-18 13:00:00-04:00,ICI,4h,SHORT,643.28,644.18,641.55,0.415,1.93,False,False,False
2025-09-23 13:00:00-04:00,ICI,4h,LONG,663.25,661.63,669.17,0.767,3.66,True,False,False
2025-09-26 09:00:00-04:00,ICI,4h,SHORT,661.62,662.98,651.75,0.595,7.28,False,False,False
